date,positives,neutral,negatives,sentiment_score
2015-01-02,0.10367892976588629,0.0,0.8963210702341137,
2015-01-03,0.09006928406466513,0.0,0.9099307159353349,
2015-01-04,0.08405797101449275,0.0,0.9159420289855073,
2015-01-05,0.0691358024691358,0.0,0.9308641975308642,
2015-01-06,0.08027923211169284,0.0,0.9197207678883071,
2015-01-07,0.10513036164844407,0.0,0.894869638351556,
2015-01-08,0.08691674290942361,0.0,0.9130832570905764,
2015-01-09,0.13788487282463185,0.0,0.8621151271753681,
2015-01-10,0.11329170383586083,0.0,0.8867082961641392,
2015-01-11,0.07142857142857142,0.0,0.9285714285714286,
2015-01-12,0.08361204013377926,0.0,0.9163879598662207,
2015-01-13,0.10201912858660998,0.0,0.89798087141339,
2015-01-14,0.11013858497447118,0.0,0.8898614150255288,
2015-01-15,0.08333333333333333,0.0,0.9166666666666666,
2015-01-16,0.0831146106736658,0.0,0.9168853893263342,
2015-01-17,0.08383751080380294,0.0,0.916162489196197,
2015-01-18,0.11384615384615385,0.0,0.8861538461538462,
2015-01-19,0.11284046692607004,0.0,0.8871595330739299,
2015-01-20,0.05542725173210162,0.0,0.9445727482678984,
2015-01-21,0.0968421052631579,0.0,0.9031578947368422,
2015-01-22,0.12974976830398516,0.0,0.8702502316960148,
2015-01-23,0.0840035746201966,0.0,0.9159964253798034,
2015-01-24,0.0973017170891251,0.0,0.902698282910875,
2015-01-25,0.09627329192546584,0.0,0.9037267080745341,
2015-01-26,0.11442786069651742,0.0,0.8855721393034826,
2015-01-27,0.10820624546114742,0.0,0.8917937545388526,
2015-01-28,0.16317016317016317,0.0,0.8368298368298368,
2015-01-29,0.16262814538676607,0.0,0.8373718546132339,
2015-01-30,0.1532958610117527,0.0,0.8467041389882474,
2015-01-31,0.13827781269641734,0.0,0.8617221873035826,
2015-02-01,0.0951417004048583,0.0,0.9048582995951417,
2015-02-02,0.100990099009901,0.0,0.899009900990099,
2015-02-03,0.10128913443830571,0.0,0.8987108655616943,
2015-02-04,0.062882096069869,0.0,0.9371179039301311,
2015-02-05,0.12563451776649745,0.0,0.8743654822335025,
2015-02-06,0.0960352422907489,0.0,0.9039647577092511,
2015-02-07,0.09072375127421,0.0,0.90927624872579,
2015-02-08,0.09462915601023018,0.0,0.9053708439897699,
2015-02-09,0.06143344709897611,0.0,0.9385665529010239,
2015-02-10,0.09032943676939426,0.0,0.9096705632306057,
2015-02-11,0.1596153846153846,0.0,0.8403846153846154,
2015-02-12,0.15116755428103237,0.0,0.8488324457189677,
2015-02-13,0.12639766650461837,0.0,0.8736023334953816,
2015-02-14,0.10879190385831752,0.0,0.8912080961416825,
2015-02-16,0.15496688741721854,0.0,0.8450331125827815,
2015-02-17,0.1208955223880597,0.0,0.8791044776119403,
2015-02-18,0.09645909645909646,0.0,0.9035409035409036,
2015-02-19,0.10264900662251655,0.0,0.8973509933774835,
2015-02-20,0.096826688364524,0.0,0.903173311635476,
2015-02-21,0.1250914411119239,0.0,0.8749085588880761,
2015-02-22,0.11358574610244988,0.0,0.8864142538975501,
2015-02-23,0.08225108225108226,0.0,0.9177489177489178,
2015-02-24,0.15505725190839695,0.0,0.8449427480916031,
2015-02-25,0.11378687537627935,0.0,0.8862131246237207,
2015-02-26,0.10627268014515293,0.0,0.8937273198548471,
2015-02-27,0.09350104821802935,0.0,0.9064989517819706,
2015-02-28,0.07122177185871453,0.0,0.9287782281412854,
2015-03-01,0.07705779334500876,0.0,0.9229422066549913,
2015-03-02,0.07164634146341463,0.0,0.9283536585365854,
2015-03-03,0.1008094186902134,0.0,0.8991905813097866,
2015-03-04,0.08258928571428571,0.0,0.9174107142857143,
2015-03-05,0.08613938919342208,0.0,0.9138606108065779,
2015-03-06,0.07635327635327635,0.0,0.9236467236467236,
2015-03-07,0.09281961471103327,0.0,0.9071803852889667,
2015-03-08,0.058572949946751864,0.0,0.9414270500532481,
2015-03-09,0.0876010781671159,0.0,0.9123989218328841,
2015-03-10,0.15109771846749892,0.0,0.848902281532501,
2015-03-11,0.10737179487179487,0.0,0.8926282051282052,
2015-03-12,0.10148777895855472,0.0,0.8985122210414452,
2015-03-13,0.1048951048951049,0.0,0.8951048951048951,
2015-03-14,0.11276429130775255,0.0,0.8872357086922474,
2015-03-15,0.10653409090909091,0.0,0.8934659090909091,
2015-03-16,0.09405940594059406,0.0,0.905940594059406,
2015-03-17,0.11215686274509803,0.0,0.8878431372549019,
2015-03-18,0.08726287262872628,0.0,0.9127371273712737,
2015-03-19,0.1155137676292814,0.0,0.8844862323707186,
2015-03-20,0.10258152173913043,0.0,0.8974184782608695,
2015-03-21,0.07780157030692363,0.0,0.9221984296930764,
2015-03-22,0.06568364611260054,0.0,0.9343163538873994,
2015-03-23,0.03932584269662921,0.0,0.9606741573033708,
2015-03-24,0.09680207433016422,0.0,0.9031979256698358,
2015-03-26,0.10027598896044158,0.0,0.8997240110395585,
2015-03-27,0.06904761904761905,0.0,0.930952380952381,
2015-03-28,0.08848715509039011,0.0,0.9115128449096099,
2015-03-29,0.0718562874251497,0.0,0.9281437125748503,
2015-03-30,0.09347442680776014,0.0,0.9065255731922398,
2015-03-31,0.10672645739910314,0.0,0.8932735426008969,
2015-04-01,0.07386888273314866,0.0,0.9261311172668514,
2015-04-02,0.13799283154121864,0.0,0.8620071684587813,
2015-04-03,0.0928030303030303,0.0,0.9071969696969697,
2015-04-04,0.08794326241134752,0.0,0.9120567375886525,
2015-04-05,0.08768971332209106,0.0,0.9123102866779089,
2015-04-06,0.09433962264150944,0.0,0.9056603773584906,
