date,positives,neutral,negatives,sentiment_score
2015-01-02,0.08372093023255814,0.0,0.9162790697674419,
2015-01-03,0.08557692307692308,0.0,0.9144230769230769,
2015-01-04,0.08980582524271845,0.0,0.9101941747572816,
2015-01-05,0.0673469387755102,0.0,0.9326530612244898,
2015-01-06,0.07708479327259986,0.0,0.9229152067274001,
2015-01-07,0.1053763440860215,0.0,0.8946236559139785,
2015-01-08,0.08469308469308469,0.0,0.9153069153069153,
2015-01-09,0.13224107665301346,0.0,0.8677589233469866,
2015-01-10,0.10784313725490197,0.0,0.8921568627450981,
2015-01-11,0.07371007371007371,0.0,0.9262899262899262,
2015-01-12,0.08262108262108261,0.0,0.9173789173789174,
2015-01-13,0.11357813834329633,0.0,0.8864218616567037,
2015-01-14,0.1109865470852018,0.0,0.8890134529147982,
2015-01-15,0.08928571428571429,0.0,0.9107142857142857,
2015-01-16,0.07800421644413212,0.0,0.9219957835558679,
2015-01-17,0.07369844489519946,0.0,0.9263015551048005,
2015-01-18,0.10501193317422435,0.0,0.8949880668257757,
2015-01-19,0.1027190332326284,0.0,0.8972809667673716,
2015-01-20,0.057971014492753624,0.0,0.9420289855072463,
2015-01-21,0.09855564995751911,0.0,0.9014443500424809,
2015-01-22,0.12571067593177512,0.0,0.8742893240682249,
2015-01-23,0.07516536380036079,0.0,0.9248346361996392,
2015-01-24,0.0906288532675709,0.0,0.9093711467324291,
2015-01-25,0.09297052154195011,0.0,0.9070294784580499,
2015-01-26,0.0975609756097561,0.0,0.9024390243902439,
2015-01-27,0.10362364907819453,0.0,0.8963763509218055,
2015-01-28,0.1589155829843509,0.0,0.8410844170156491,
2015-01-29,0.1627450980392157,0.0,0.8372549019607843,
2015-01-30,0.14686416640403405,0.0,0.853135833595966,
2015-01-31,0.13691756272401434,0.0,0.8630824372759857,
2015-02-01,0.08966565349544073,0.0,0.9103343465045592,
2015-02-02,0.10289389067524116,0.0,0.8971061093247589,
2015-02-03,0.10251046025104603,0.0,0.897489539748954,
2015-02-04,0.06344221105527638,0.0,0.9365577889447236,
2015-02-05,0.11771000535045478,0.0,0.8822899946495452,
2015-02-06,0.09410205434062292,0.0,0.9058979456593771,
2015-02-07,0.090595340811044,0.0,0.909404659188956,
2015-02-08,0.08541666666666667,0.0,0.9145833333333333,
2015-02-09,0.058355437665782495,0.0,0.9416445623342176,
2015-02-10,0.0834072759538598,0.0,0.9165927240461402,
2015-02-11,0.15503533568904593,0.0,0.8449646643109541,
2015-02-12,0.14830346930995045,0.0,0.8516965306900496,
2015-02-13,0.12327547841566533,0.0,0.8767245215843347,
2015-02-14,0.10682326621923938,0.0,0.8931767337807607,
2015-02-15,0.1410105757931845,0.0,0.8589894242068156,
2015-02-16,0.006172839506172839,0.0,0.9938271604938271,
2015-02-17,0.10855683269476372,0.0,0.8914431673052363,
2015-02-18,0.09229037703995498,0.0,0.907709622960045,
2015-02-19,0.10163468372423597,0.0,0.898365316275764,
2015-02-20,0.09764089121887287,0.0,0.9023591087811271,
2015-02-21,0.11505507955936352,0.0,0.8849449204406364,
2015-02-22,0.11090909090909092,0.0,0.889090909090909,
2015-02-23,0.07985480943738657,0.0,0.9201451905626135,
2015-02-24,0.15167548500881833,0.0,0.8483245149911817,
2015-02-25,0.10785398230088496,0.0,0.8921460176991151,
2015-02-26,0.11141678129298486,0.0,0.8885832187070152,
2015-02-27,0.09222011385199241,0.0,0.9077798861480076,
2015-02-28,0.07042253521126761,0.0,0.9295774647887324,
2015-03-01,0.07239819004524888,0.0,0.9276018099547512,
2015-03-02,0.06693989071038252,0.0,0.9330601092896175,
2015-03-03,0.09218950064020487,0.0,0.9078104993597952,
2015-03-04,0.0916613621896881,0.0,0.9083386378103119,
2015-03-05,0.09003215434083602,0.0,0.909967845659164,
2015-03-06,0.08162267839687194,0.0,0.918377321603128,
2015-03-07,0.08913370055082624,0.0,0.9108662994491737,
2015-03-08,0.052336448598130844,0.0,0.9476635514018692,
2015-03-09,0.08353808353808354,0.0,0.9164619164619164,
2015-03-10,0.1455592105263158,0.0,0.8544407894736842,
2015-03-11,0.10376661742983752,0.0,0.8962333825701625,
2015-03-12,0.09817131857555342,0.0,0.9018286814244466,
2015-03-13,0.10407239819004525,0.0,0.8959276018099548,
2015-03-14,0.10972222222222222,0.0,0.8902777777777777,
2015-03-15,0.09592326139088729,0.0,0.9040767386091128,
2015-03-16,0.09090909090909091,0.0,0.9090909090909091,
2015-03-17,0.10234113712374582,0.0,0.8976588628762542,
2015-03-18,0.08293612964728313,0.0,0.9170638703527169,
2015-03-19,0.10745742806811509,0.0,0.8925425719318849,
2015-03-20,0.10022779043280182,0.0,0.8997722095671982,
2015-03-21,0.07581849511774842,0.0,0.9241815048822516,
2015-03-22,0.06291390728476821,0.0,0.9370860927152318,
2015-03-23,0.05229793977812995,0.0,0.9477020602218701,
2015-03-24,0.09202453987730061,0.0,0.9079754601226994,
2015-03-25,0.09015151515151515,0.0,0.9098484848484848,
2015-03-26,0.05907172995780591,0.0,0.9409282700421941,
2015-03-27,0.08355437665782493,0.0,0.916445623342175,
2015-03-28,0.08414725770097671,0.0,0.9158527422990232,
2015-03-29,0.07163742690058479,0.0,0.9283625730994152,
2015-03-30,0.08549618320610687,0.0,0.9145038167938931,
2015-03-31,0.10446631339894019,0.0,0.8955336866010598,
2015-04-01,0.0804270462633452,0.0,0.9195729537366548,
2015-04-02,0.12590448625180897,0.0,0.874095513748191,
2015-04-03,0.09175019275250579,0.0,0.9082498072474943,
2015-04-04,0.08844339622641509,0.0,0.9115566037735849,
